code,time,open,high,low,close,quote colume,volume
600760,1-Jun-20,23.43025,24.02832,23.24028,23.92982,11725004,395822400
600760,2-Jun-20,23.84538,24.23237,23.64133,23.69059,7478605,253901793
600760,3-Jun-20,23.69763,23.84538,23.26842,23.43729,8314608,278369952
600760,4-Jun-20,23.50061,23.54987,22.93772,22.97994,9816228,323289072
600760,5-Jun-20,22.97994,23.11363,22.74071,22.90958,4810723,156534255
600760,8-Jun-20,23.01512,23.52172,22.58592,23.19806,11378745,373264704
600760,9-Jun-20,23.21917,23.2825,22.65628,23.0503,8684534,283424208
600760,10-Jun-20,23.00105,23.16288,22.65628,22.96587,7998145,259976246
600760,11-Jun-20,22.97291,23.07141,22.65628,22.81107,7007788,228137892
600760,12-Jun-20,22.57888,22.97291,22.41705,22.97291,7937771,256925286
600760,15-Jun-20,22.93069,22.93069,22.43112,22.43112,7563911,243532246
600760,16-Jun-20,22.52259,22.90958,22.52259,22.797,8024944,259387513
600760,17-Jun-20,23.18399,23.75391,22.93772,23.50765,17568658,584951024
600760,18-Jun-20,23.2262,23.25435,22.50852,22.71257,14407207,465470144
600760,19-Jun-20,22.65495,22.73977,22.53478,22.72564,8142118,260707181
600760,22-Jun-20,22.71857,22.86701,22.61961,22.8458,8271998,266346736
600760,23-Jun-20,22.81753,23.12148,22.61961,23.11441,8718955,282134192
600760,24-Jun-20,23.11441,23.11441,22.72564,22.79632,7041307,227804480
600760,29-Jun-20,22.69029,23.29113,22.55599,23.06493,9307129,302709152
600760,30-Jun-20,23.10734,23.29113,22.9589,23.19924,8477488,277698480
600760,1-Jul-20,23.32647,23.89196,23.11441,23.89196,15726575,522264576
600760,2-Jul-20,23.9273,23.9273,23.63749,23.74352,12988644,436400720
600760,3-Jul-20,23.87782,25.34103,23.78593,24.89571,25846467,903664320
600760,6-Jul-20,25.37637,27.38386,25.37637,27.38386,28138099,1075764128
600760,7-Jul-20,28.76931,30.11942,28.42295,30.11942,25667441,1066718304
600760,8-Jul-20,31.62504,33.13066,31.24333,33.13066,27090077,1247938704
600760,9-Jul-20,36.44584,36.44584,36.44584,36.44584,3021109,155768380
600760,10-Jul-20,40.09325,40.09325,40.09325,40.09325,8391490,475965312
600760,13-Jul-20,38.87745,42.32694,36.17723,41.35147,79636567,4369316864
600760,14-Jul-20,40.29118,45.48662,39.94481,41.73318,74467491,4464470528
600760,15-Jul-20,42.20678,43.83963,38.66539,40.49617,59840479,3543923232
600760,16-Jul-20,39.26622,41.72611,36.60135,38.213,53942422,3022328368
600760,17-Jul-20,38.52402,42.03713,36.89824,42.03713,55323777,3170242176
600760,20-Jul-20,43.68412,46.24296,43.54274,46.24296,17992156,1152175840
600760,21-Jul-20,49.76314,50.82343,42.8783,43.00553,75968691,4918441984
600760,22-Jul-20,42.4047,45.51489,42.4047,43.64171,59506312,3714663712
600760,23-Jul-20,44.50408,48.00305,42.75813,48.00305,67866270,4418942208
600760,24-Jul-20,49.21885,52.66127,45.94608,46.51157,79536085,5624794880
600760,27-Jul-20,45.31697,48.54733,42.16436,46.6176,52474483,3346061616
600760,28-Jul-20,45.52196,47.62135,44.20013,45.0625,34487175,2227173632
600760,29-Jul-20,44.53235,46.25003,43.64171,45.73402,37441027,2385796144
600760,30-Jul-20,45.58558,48.01012,44.2072,46.33485,42506329,2757418944
600760,31-Jul-20,46.05211,46.33485,44.48287,45.18974,30118600,1928846352
600760,3-Aug-20,45.84005,49.43798,44.89992,48.62509,48370324,3268693936
600760,4-Aug-20,47.36687,47.64255,45.09784,45.09784,40992077,2667293680
600760,5-Aug-20,44.44753,46.78018,43.83256,45.76936,33247891,2151816688
600760,6-Aug-20,45.59265,50.34983,45.50782,50.34983,63596725,4405234176
600760,7-Aug-20,48.77353,54.77479,47.11947,51.88373,61493100,4360990208
600760,10-Aug-20,50.93653,55.6301,49.12696,49.16231,51654670,3794724848
600760,11-Aug-20,47.78392,50.75275,46.82966,47.9253,34128969,2342007552
600760,12-Aug-20,47.3598,49.12696,44.99888,46.41261,32240299,2139178496
600760,13-Aug-20,46.63881,47.50117,45.50782,45.84712,27108390,1788694224
600760,14-Aug-20,45.23215,48.22218,44.8151,46.75897,30366724,2010358016
600760,17-Aug-20,46.65294,48.68871,45.66333,48.09494,29964713,2010054656
600760,18-Aug-20,47.61428,49.84796,47.57187,48.11615,26601178,1824536304
600760,19-Aug-20,47.63548,47.77685,45.36645,45.47248,25551866,1679045392
600760,20-Aug-20,45.23922,45.93194,42.19971,42.34815,34742919,2137510656
600760,21-Aug-20,43.04123,43.64913,42.03748,42.68779,22156288,1343558224
600760,24-Aug-20,43.08364,43.6774,42.10817,42.85744,13294308,804075024
600760,25-Aug-20,42.87158,43.03416,40.68031,41.13977,22869956,1341673904
600760,26-Aug-20,41.42251,42.05162,40.20671,40.53186,14512955,841651664
600760,27-Aug-20,40.97719,41.33062,40.36222,40.92771,13106465,757994512
600760,28-Aug-20,41.18889,42.62382,40.65874,41.42216,21544462,1261411712
600760,31-Aug-20,41.4575,42.94898,40.64461,41.74025,28170981,1671943184
600760,1-Sep-20,41.95937,43.23172,41.49991,42.55314,29923881,1803831728
600760,2-Sep-20,42.48245,42.48952,40.36186,40.64461,24485463,1426432736
600760,3-Sep-20,40.28411,40.60926,39.28743,40.22049,19219686,1082949664
600760,4-Sep-20,39.58431,40.80012,39.48536,40.47496,13589552,774247456
600760,7-Sep-20,40.47496,40.47496,38.74315,38.98348,13298288,742999056
600760,8-Sep-20,38.98348,39.72569,38.53109,39.59845,10733237,594144320
600760,9-Sep-20,38.88452,42.34108,38.78556,40.96976,26719948,1535708112
600760,10-Sep-20,40.85667,40.8708,39.00469,39.0471,15313387,866320528
600760,11-Sep-20,38.74315,39.35812,37.29408,38.0787,20180317,1085987808
600760,14-Sep-20,38.0787,38.51695,37.36477,37.55562,13236383,708280080
600760,15-Sep-20,37.64044,38.24127,37.3577,38.10697,11048198,591268080
600760,16-Sep-20,38.15645,38.31903,37.39304,37.47786,8820142,470584672
600760,17-Sep-20,37.6263,38.24834,36.86289,37.67579,10595304,562806944
600760,18-Sep-20,38.02922,39.33691,37.81716,39.21674,18519262,1019362608
600760,21-Sep-20,40.1074,42.81468,40.07912,41.28078,30253872,1781996256
600760,22-Sep-20,40.33359,40.52444,39.24502,39.52776,14736820,827940512
600760,23-Sep-20,39.28036,39.92361,38.5947,39.64793,9665260,536201344
600760,24-Sep-20,39.02589,39.40053,38.05749,38.17765,9423111,514433232
600760,25-Sep-20,38.45333,38.934,38.02215,38.0999,8024944,435344512
600760,28-Sep-20,38.02922,38.86331,37.72527,38.24127,7958902,431400432
600760,29-Sep-20,38.80677,40.84253,38.58764,40.5103,20430617,1159214048
600760,30-Sep-20,40.57392,40.77184,39.67621,40.49617,11234196,640709664
600760,9-Oct-20,40.99804,41.16769,40.05084,41.16769,14176070,815592016
600760,12-Oct-20,41.88162,45.23922,41.37268,43.66998,29516175,1809232624
600760,13-Oct-20,43.11863,44.10824,42.7652,44.00927,13811273,847890432
600760,14-Oct-20,44.61718,46.79431,44.26374,45.5573,27607382,1779336624
600760,15-Oct-20,45.05543,46.33485,45.05543,45.34525,16040332,1037457312
600760,16-Oct-20,45.23922,45.80471,42.7652,42.94898,17390174,1076375712
600760,19-Oct-20,43.42258,43.57809,42.46125,43.15397,11145569,681013328
600760,20-Oct-20,43.11863,43.33068,41.87455,43.11863,12269374,740272624
600760,21-Oct-20,43.06208,43.23172,40.9627,41.31613,14020983,830250320
600760,22-Oct-20,41.2101,41.26665,39.72569,41.03338,9166982,525781168
600760,23-Oct-20,41.03338,41.48577,39.37932,39.52776,8729740,497926864
600760,26-Oct-20,39.56311,40.34066,39.13899,40.28411,7646155,431858464
600760,27-Oct-20,39.93774,40.70116,39.59138,40.39721,8515869,483576416
600760,28-Oct-20,40.47496,40.4891,39.23088,40.2629,8116602,457539248
600760,29-Oct-20,39.58431,40.02257,39.26622,39.92361,7721999,433449024
600760,30-Oct-20,40.66581,41.35147,36.40343,36.6367,26223745,1428069120
600760,2-Nov-20,36.38223,37.3789,35.69657,37.15977,14479260,755985952
600760,3-Nov-20,37.15977,38.34024,36.96892,38.0999,11278881,603007552
600760,4-Nov-20,38.08577,40.38307,37.66872,39.64793,16465765,909448096
600760,5-Nov-20,38.91279,39.57018,38.00094,38.58764,11830927,646921920
600760,6-Nov-20,37.81716,38.63005,36.41757,37.07495,14429468,759051856
600760,9-Nov-20,36.75686,38.16352,36.38223,37.75354,11702798,619016064
600760,10-Nov-20,37.6051,37.9656,36.9053,37.09616,8157799,429624992
600760,11-Nov-20,36.96892,37.53441,36.05,36.19137,9361296,485059392
600760,12-Nov-20,36.26913,37.13857,36.10655,36.55894,6342212,328386816
600760,13-Nov-20,36.55894,37.95853,36.23378,37.20219,13031236,685355968
600760,16-Nov-20,37.30822,39.08951,37.30822,37.95853,16219166,873500560
600760,17-Nov-20,37.81716,37.81716,35.48451,35.97932,15690918,800964560
600760,18-Nov-20,36.05,36.57308,35.54106,36.4105,8956352,458419936
600760,19-Nov-20,36.05,39.93774,35.70364,39.42173,28626637,1561386368
600760,20-Nov-20,39.41467,40.9839,38.8209,39.63379,24906462,1401177536
600760,23-Nov-20,39.23088,40.34066,38.87745,39.56311,15367450,862572272
600760,24-Nov-20,39.42173,40.49617,38.50282,38.74315,14264049,795731520
600760,25-Nov-20,38.38265,38.64418,37.32235,37.3577,10574050,566184816
600760,26-Nov-20,37.6051,38.60178,36.97599,38.28369,12910184,692977744
600760,27-Nov-20,38.31196,42.11488,38.06456,42.10781,40142818,2345954784
600760,30-Nov-20,42.27039,44.35564,41.14648,42.92777,40618660,2477785152
600760,1-Dec-20,42.92777,45.43714,42.55314,44.3415,27788437,1737396736
600760,2-Dec-20,43.82549,45.55024,43.47206,44.1153,24746237,1555092480
600760,3-Dec-20,43.96686,44.48994,43.5074,44.17892,13539213,842076912
600760,4-Dec-20,43.50034,44.74441,42.539,44.32029,17765696,1098385648
600760,7-Dec-20,44.16478,44.66666,43.15397,44.37684,18404254,1147105328
600760,8-Dec-20,43.97393,46.15814,43.19638,43.89618,17697262,1111861552
600760,9-Dec-20,43.40137,44.32029,41.19596,41.35147,21124908,1275498368
600760,10-Dec-20,41.58474,43.80429,41.35147,43.04087,18489986,1117519248
600760,11-Dec-20,43.06208,43.26,40.99804,41.79679,12294437,727999840
600760,14-Dec-20,41.64835,45.80471,41.64835,44.77975,23668393,1490003216
600760,15-Dec-20,45.23215,46.90034,44.28495,45.68454,22533439,1460838960
600760,16-Dec-20,45.23922,46.17934,44.26374,45.13319,17609017,1122375424
600760,17-Dec-20,44.60304,45.0625,43.24586,44.80803,14152015,887277248
600760,18-Dec-20,44.62424,45.16853,43.57809,43.91739,13843175,869522624
600760,21-Dec-20,44.9494,47.62135,44.17892,47.50117,24696175,1617757888
600760,22-Dec-20,47.27498,48.51199,46.44088,46.44088,19592274,1316382624
600760,23-Dec-20,46.93569,51.08497,46.08745,51.08497,31329273,2176910288
600760,24-Dec-20,52.16647,55.84923,51.07084,51.67874,40392181,3055425408
600760,25-Dec-20,52.30784,53.24797,50.1307,52.73196,23332505,1712935184
600760,28-Dec-20,52.66127,54.78186,50.75275,51.77769,29328416,2163628096
600760,29-Dec-20,51.52322,52.30784,49.76314,50.75275,19168691,1386238800
600760,30-Dec-20,50.42052,53.8276,50.39931,52.09578,22879951,1685146864
600760,31-Dec-20,51.88373,55.75733,51.5303,55.26253,25738292,1956650976
600760,4-Jan-21,57.46795,60.7902,56.54902,60.7902,31054031,2603661808
600760,5-Jan-21,61.49706,66.30373,60.7902,63.25008,36072376,3217672416
600760,6-Jan-21,62.40184,67.61849,62.04134,65.5898,28894621,2668129696
600760,7-Jan-21,64.48709,70.7923,63.97108,68.21226,31230421,2977565216
600760,8-Jan-21,68.00019,69.83804,64.33865,67.47005,27811482,2621213808
600760,11-Jan-21,69.20187,69.59064,61.49706,62.3665,36374545,3357092352
600760,12-Jan-21,62.84717,66.11287,62.84717,65.77358,27720618,2535582912
600760,13-Jan-21,66.35321,68.07795,63.03802,64.28916,31128534,2879020928
600760,14-Jan-21,62.91079,62.91079,57.86378,57.96981,40520744,3380046912
600760,15-Jan-21,57.96981,59.3694,55.7644,59.09372,28304966,2319659744
600760,18-Jan-21,59.09372,61.34155,58.32325,60.36608,26750228,2277732800
600760,19-Jan-21,59.29165,60.47211,56.81763,57.66586,26954815,2225004544
600760,20-Jan-21,57.25588,59.97023,56.76108,59.24216,21682706,1798007552
600760,21-Jan-21,59.17855,60.3166,57.89206,59.54612,28011866,2343208544
600760,22-Jan-21,59.09372,61.46171,58.15359,61.45465,33124378,2804715424
600760,25-Jan-21,62.91079,67.37816,62.82596,64.08418,38823947,3566097616
600760,26-Jan-21,62.82596,63.45507,57.67293,57.67293,33831207,2840004304
600760,27-Jan-21,56.61971,58.30204,55.69372,56.96606,19013031,1530008432
600760,28-Jan-21,55.6301,57.47501,54.68997,55.36149,19374684,1536292432
600760,29-Jan-21,55.77147,56.39351,52.96523,54.32947,19985173,1546696848
600760,1-Feb-21,54.42843,55.94819,54.4143,55.20598,12191957,952641344
600760,2-Feb-21,55.84216,57.22054,54.64049,56.70453,15764105,1250891008
600760,3-Feb-21,56.76108,56.76108,53.05005,53.30452,18918773,1458969152
600760,4-Feb-21,52.70369,54.075,52.11699,52.87334,14471584,1084992976
600760,5-Feb-21,53.72157,54.34361,51.5303,51.62218,12221923,913770048
600760,8-Feb-21,52.19474,53.29745,50.90825,53.02178,12439044,924056384
600760,9-Feb-21,53.62968,58.32325,52.84506,58.31618,25331951,2020249952
600760,10-Feb-21,58.10411,58.10411,55.20598,57.12865,21771343,1737668704
600760,18-Feb-21,57.26295,57.83551,55.83509,56.76108,14855673,1190889488
600760,19-Feb-21,56.90245,58.66961,56.61971,57.65879,15098988,1227968784
600760,22-Feb-21,57.68,57.77896,52.85213,53.08539,21953778,1707483536
600760,23-Feb-21,51.63633,55.96939,51.35358,55.22718,20522517,1584624320
600760,24-Feb-21,55.79268,57.2064,54.92323,56.54195,19490169,1549185600
600760,25-Feb-21,56.54902,61.35569,55.8775,59.94196,27631844,2304190080
600760,26-Feb-21,58.36566,60.50745,55.84216,57.32657,23186885,1898046032
600760,1-Mar-21,57.71534,58.3091,55.75733,58.3091,14926732,1207391552
600760,2-Mar-21,58.56358,59.52491,56.7116,59.40475,19570732,1613318240
600760,3-Mar-21,58.10411,59.15028,57.60931,58.66961,11741999,970465552
600760,4-Mar-21,58.16774,60.47211,56.72573,57.1852,17627557,1465838960
600760,5-Mar-21,55.65837,55.68665,51.47374,51.92614,24636426,1850560352
600760,8-Mar-21,51.93321,52.23716,46.7307,46.7307,28037279,1921330768
600760,9-Mar-21,45.94608,46.37019,42.48952,43.66291,21803985,1363529696
600760,10-Mar-21,44.53235,45.02716,42.97019,43.3943,14753616,910940336
600760,11-Mar-21,43.44378,45.01302,42.80054,44.5889,13964953,872969648
600760,12-Mar-21,44.56063,44.56063,42.85002,43.91031,11149174,687257232
600760,15-Mar-21,43.86083,44.69493,42.63089,43.27414,11758992,726735856
600760,16-Mar-21,43.11863,43.74773,42.05833,42.73692,9330865,565522944
600760,17-Mar-21,42.94191,43.60636,42.55314,43.04794,8121502,495751216
600760,18-Mar-21,42.7652,44.35564,42.6733,43.66998,10891920,672081808
600760,19-Mar-21,42.97019,46.65294,42.70864,44.88578,21914372,1390924416
600760,22-Mar-21,44.39098,44.8363,43.31655,44.5677,12735856,794945232
600760,23-Mar-21,44.35564,45.43007,44.07289,45.22508,11362944,722009184
600760,24-Mar-21,44.85751,45.66333,42.1785,42.75106,15979905,979409744
600760,25-Mar-21,42.41177,43.45792,42.0654,42.69451,8658524,524181712
600760,26-Mar-21,42.69451,44.22134,42.63796,44.01634,10651748,659351840
600760,29-Mar-21,44.75148,45.76229,44.29909,44.46873,12333982,785147552
600760,30-Mar-21,47.19722,48.9149,46.15814,48.9149,30227654,2067119952
600760,31-Mar-21,48.56147,48.84422,45.6492,45.88247,27391696,1813264752
600760,1-Apr-21,46.32072,47.07706,45.61385,46.99224,13183089,865576496
600760,2-Apr-21,46.4833,47.50117,45.80471,46.71656,13360799,879020560
600760,6-Apr-21,46.75897,47.77685,46.75897,47.3386,12251066,819081424
600760,7-Apr-21,46.865,46.93569,45.79057,46.13693,10992133,717193968
600760,8-Apr-21,45.85419,46.76604,45.30283,46.34192,8934303,583216864
600760,9-Apr-21,46.64587,47.46584,45.69161,45.76229,12342852,813877280
600760,12-Apr-21,45.16146,45.65626,43.02673,43.34482,15844291,989425312
600760,13-Apr-21,43.11156,44.0941,42.94191,43.80429,8010120,494092560
600760,14-Apr-21,43.33068,44.32736,43.33068,44.31322,6884341,428915376
600760,15-Apr-21,44.05169,44.53235,43.69825,44.40512,5641661,351992256
600760,16-Apr-21,44.42632,44.80803,43.98807,44.39805,5785965,362749168
600760,19-Apr-21,44.41219,45.59265,43.68412,45.57144,11902689,757238208
600760,20-Apr-21,45.10491,46.22882,44.73027,45.3099,11294739,726604400
600760,21-Apr-21,44.8363,45.00595,43.88204,44.41219,9331047,585997680
600760,22-Apr-21,44.53235,45.13319,44.10824,44.24961,8220721,517882944
600760,23-Apr-21,44.06582,44.68786,43.91031,44.37684,7054229,442441200
600760,26-Apr-21,44.48287,46.1652,44.46873,44.79389,13695148,879817456
600760,27-Apr-21,44.50408,44.50408,43.04087,43.60636,9266172,572366400
600760,28-Apr-21,43.20345,44.03048,43.19638,43.88911,6265593,386935088
600760,29-Apr-21,43.98807,44.41925,43.47206,43.59929,7522713,466647168
600760,30-Apr-21,41.74025,42.34815,39.24502,40.81425,28218116,1609375232
600760,6-May-21,40.36893,43.74773,40.1286,43.11863,19060690,1140479024
600760,7-May-21,43.04794,44.12944,42.62382,43.31655,10503278,645015824
600760,10-May-21,43.28828,43.42258,42.12902,43.32362,9172873,553986864
600760,11-May-21,43.12569,47.65668,42.91364,47.64962,31088930,2039124320
